[14438.7, 14438.5, 14438.4, 14438.5; 16156.1, 16156.2, 16156.1, 16155.9]
[14352.5, 14352.7, 14352.9, 14352.7; 16304.3, 16304.1, 16304.2, 16304.4]
[14281.5, 14281.7, 14281.8, 14281.6; 16302, 16301.9, 16302.1, 16302.2]
[14416.8, 14416.9, 14417.1, 14417; 16262.4, 16262.2, 16262.3, 16262.5]
[14254.5, 14254.7, 14254.7, 14254.5; 16289, 16289, 16289.2, 16289.2]
[14366, 14366.1, 14366.3, 14366.1; 16300.1, 16299.9, 16300, 16300.2]
[14329.6, 14329.8, 14330, 14329.8; 16308.3, 16308.2, 16308.3, 16308.5]
[14403.9, 14404.3, 14404.3, 14403.9; 16276, 16276, 16276.4, 16276.4]
[14202.5, 14202.8, 14202.8, 14202.5; 16218.4, 16218.4, 16218.8, 16218.8]
[14308.6, 14308.8, 14308.9, 14308.7; 16308.6, 16308.5, 16308.7, 16308.8]
[14380.4, 14380.5, 14380.7, 14380.6; 16294.1, 16293.9, 16294, 16294.2]
[14234.1, 14234.4, 14234.4, 14234.1; 16273.9, 16273.9, 16274.1, 16274.1]
[14196.5, 14196.8, 14196.8, 14196.5; 16197.7, 16197.7, 16198.1, 16198.1]
[14218.5, 14218.7, 14218.7, 14218.4; 16257.8, 16257.9, 16258.1, 16258]
[14194.9, 14195.1, 14194.9, 14194.8; 16167.9, 16168.1, 16168.3, 16168.1]
[14202.7, 14203, 14202.9, 14202.6; 16234.4, 16234.5, 16234.7, 16234.6]
[14405.6, 14405.7, 14405.9, 14405.8; 16282.1, 16281.9, 16282, 16282.2]
[14197, 14197.2, 14197, 14196.8; 16220.3, 16220.5, 16220.7, 16220.5]
[14192.4, 14192.6, 14192.5, 14192.3; 16204.9, 16205, 16205.2, 16205]
[14424.7, 14425, 14425, 14424.7; 16264.5, 16264.5, 16264.9, 16264.9]
[14190.1, 14190.4, 14190.4, 14190.1; 16173.9, 16173.9, 16174.2, 16174.2]
[14422.4, 14422.5, 14422.7, 14422.6; 16272.8, 16272.6, 16272.7, 16272.9]
[14190.9, 14191.1, 14191, 14190.8; 16152.1, 16152.3, 16152.4, 16152.3]
[14183.2, 14183.4, 14183.3, 14183.1; 16170.1, 16170.2, 16170.4, 16170.2]
[14433.9, 14433.7, 14433.6, 14433.7; 16103.4, 16103.5, 16103.4, 16103.2]
[14405.7, 14405.6, 14405.4, 14405.6; 16074.5, 16074.7, 16074.6, 16074.4]
[14443.4, 14443.8, 14443.8, 14443.4; 16253.8, 16253.8, 16254.1, 16254.1]
[14184.5, 14184.8, 14184.8, 14184.5; 16150.9, 16150.9, 16151.3, 16151.3]
[14449.6, 14449.7, 14449.9, 14449.8; 16243.6, 16243.4, 16243.4, 16243.7]
[14188.1, 14185.2, 14193.1, 14196; 16245, 16239.5, 16235.4, 16240.9]
[14197.5, 14193.1, 14199.4, 14203.8; 16261.8, 16257.4, 16251.1, 16255.6]
[14274.9, 14274.5, 14273, 14273.5; 16319.9, 16320.8, 16320.1, 16319.2]
[14180.8, 14178.6, 14186.9, 14189.1; 16230.7, 16224.9, 16221.8, 16227.7]
[14186.8, 14187, 14186.9, 14186.7; 16135.6, 16135.8, 16135.9, 16135.8]
[14326.9, 14326.8, 14326.6, 14326.8; 16041.6, 16041.8, 16041.6, 16041.4]
[14179.3, 14179.5, 14179.3, 14179.1; 16154.5, 16154.7, 16154.8, 16154.7]
[14466.8, 14466.6, 14466.5, 14466.6; 16184.8, 16185, 16184.9, 16184.7]
[14230.3, 14213.5, 14229.6, 14246.4; 16319.1, 16305.7, 16285.5, 16298.9]
[14181, 14181.4, 14181.4, 14181; 16137.1, 16137.1, 16137.4, 16137.4]
[14257.7, 14238.5, 14250.1, 14269.3; 16335.3, 16325.6, 16302.5, 16312.2]
[14461.8, 14461.7, 14461.5, 14461.7; 16132, 16132.2, 16132, 16131.8]
[14455.5, 14455.6, 14455.8, 14455.7; 16253.9, 16253.6, 16253.7, 16253.9]
[14377.8, 14377.6, 14377.5, 14377.6; 16045.9, 16046.1, 16045.9, 16045.8]
